Project_Name,File_Path,Function_method,Primary_Failure_Line,Affected_lines,Tool,Language,Total_File_LOC,Affected_LOC,tool_version,Code Snippet,Tests,Final Classification Category,
dataclasses-json,dataclasses_json/api.py,"DataClassJsonMixin.to_dict(self, encode_json=False) -> Dict[str, Json]",85,86,Pynguin,Python,57,1,0.25.2,https://killb0x.github.io/final_coverage/python/pynguin/coverage/dataclasses-json_html/z_51d5b48c97ddcb77_api_py.html,https://github.com/killB0x/final_coverage/blob/master/python/pynguin/tests/dataclasses-json/26/test_dataclasses_json_api.py,Instantiating Abstract Classes,
dataclasses-json,dataclasses_json/api.py,"DataClassJsonMixin.schema(cls: Type[A], *, infer_missing: bool = False, only=None, exclude=(), many: bool = False, context=None, load_only=(), dump_only=(), partial: bool = False, unknown=None) -> SchemaType",89,"100, 102-104, 106, 108-115",Pynguin,Python,57,12,0.25.2,https://killb0x.github.io/final_coverage/python/pynguin/coverage/dataclasses-json_html/z_51d5b48c97ddcb77_api_py.html,https://github.com/killB0x/final_coverage/blob/master/python/pynguin/tests/dataclasses-json/26/test_dataclasses_json_api.py,Instantiating Abstract Classes,
dataclasses-json,dataclasses_json/api.py,"dataclass_json(_cls=None, *, letter_case=None, undefined: Optional[Union[str, Undefined]] = None)",130,"130-131, 133-135",Pynguin,Python,57,5,0.25.2,https://killb0x.github.io/final_coverage/python/pynguin/coverage/dataclasses-json_html/z_51d5b48c97ddcb77_api_py.html,https://github.com/killB0x/final_coverage/blob/master/python/pynguin/tests/dataclasses-json/26/test_dataclasses_json_api.py,-,
dataclasses-json,dataclasses_json/api.py,"_process_class(cls, letter_case, undefined)",138,"139-142, 144, 147-150, 152, 154-155",Pynguin,Python,57,12,0.25.2,https://killb0x.github.io/final_coverage/python/pynguin/coverage/dataclasses-json_html/z_51d5b48c97ddcb77_api_py.html,https://github.com/killB0x/final_coverage/blob/master/python/pynguin/tests/dataclasses-json/26/test_dataclasses_json_api.py,-,
dataclasses-json,dataclasses_json/cfg.py,"config(metadata: dict = None, *, encoder: Callable = None, decoder: Callable = None, mm_field: MarshmallowField = None, letter_case: Callable[[str], str] = None, undefined: Optional[Union[str, Undefined]] = None, field_name: str = None, exclude: Optional[Callable[[str, T], bool]] = None) -> Dict[str, dict]",44,"55-56, 58, 60-61, 63-64, 66-67, 69-77, 79-80, 82-95, 97",Pynguin,Python,44,38,0.25.2,https://killb0x.github.io/final_coverage/python/pynguin/coverage/dataclasses-json_html/z_51d5b48c97ddcb77_cfg_py.html,https://github.com/killB0x/final_coverage/blob/master/python/pynguin/tests/dataclasses-json/26/test_dataclasses_json_cfg.py,Test Generation Initialization Failure,
javascript-algorithms,src/algorithms/graph/articulation-points/articulationPoints.js,articulationPoints(graph: Graph): Object,60,"52, 60-62, 68-70, 76-77, 86-90, 93, 98-100, 105, 112",Syntest,JavaScript,30,19,0.1.2,https://killb0x.github.io/final_coverage/javascript/coverage/lcov-report/syntest-javascript/benchmark/large_projects/javascript-algorithms/src/algorithms/graph/articulation-points/articulationPoints.js.html,https://github.com/killB0x/final_coverage/blob/master/javascript/tests/new11-60-false-roulette-javascript_algorithms_graph-4-13/tests/test-articulationPoints.spec.ts,Object Creation Challange,
javascript-algorithms,src/algorithms/graph/bellman-ford/bellmanFord.js,"bellmanFord(graph: Graph, startVertex: GraphVertex): {distances, previousVertices}",21,"23-24, 27-28, 31-35",Syntest,JavaScript,19,9,0.1.2,https://killb0x.github.io/final_coverage/javascript/coverage/lcov-report/syntest-javascript/benchmark/large_projects/javascript-algorithms/src/algorithms/graph/bellman-ford/bellmanFord.js.html,https://github.com/killB0x/final_coverage/blob/master/javascript/tests/new11-60-false-roulette-javascript_algorithms_graph-4-13/tests/test-bellmanFord.spec.ts,Object Creation Challange,
javascript-algorithms,src/algorithms/graph/breadth-first-search/breadthFirstSearch.js,initCallbacks(callbacks: Callbacks = {}): Callbacks,32,"29-30, 32",Syntest,JavaScript,27,3,0.1.2,https://killb0x.github.io/final_coverage/javascript/coverage/lcov-report/syntest-javascript/benchmark/large_projects/javascript-algorithms/src/algorithms/graph/breadth-first-search/breadthFirstSearch.js.html,https://github.com/killB0x/final_coverage/blob/master/javascript/tests/new11-60-false-roulette-javascript_algorithms_graph-4-13/tests/test-breadthFirstSearch.spec.ts,Object Creation Challange,
javascript-algorithms,src/algorithms/graph/breadth-first-search/breadthFirstSearch.js,"breadthFirstSearch(graph: Graph, startVertex: GraphVertex, originalCallbacks: Callbacks): void",65,66,Syntest,JavaScript,27,1,0.1.2,https://killb0x.github.io/final_coverage/javascript/coverage/lcov-report/syntest-javascript/benchmark/large_projects/javascript-algorithms/src/algorithms/graph/breadth-first-search/breadthFirstSearch.js.html,https://github.com/killB0x/final_coverage/blob/master/javascript/tests/new11-60-false-roulette-javascript_algorithms_graph-4-13/tests/test-breadthFirstSearch.spec.ts,Object Creation Challange,
javascript-algorithms,src/algorithms/graph/bridges/graphBridges.js,graphBridges(graph: Graph): Object,49,"49-51, 55-56, 63-64, 71-74, 80-84, 87, 94",Syntest,JavaScript,28,16,0.1.2,https://killb0x.github.io/final_coverage/javascript/coverage/lcov-report/syntest-javascript/benchmark/large_projects/javascript-algorithms/src/algorithms/graph/bridges/graphBridges.js.html,https://github.com/killB0x/final_coverage/blob/master/javascript/tests/new11-60-false-roulette-javascript_algorithms_graph-4-13/tests/test-graphBridges.spec.ts,Object Creation Challange,
javascript-algorithms,src/algorithms/graph/depth-first-search/depthFirstSearch.js,"depthFirstSearch(graph: Graph, startVertex: GraphVertex, callbacks: Callbacks): void",51,"26-28, 30, 52-53, 57",Syntest,JavaScript,21,7,0.1.2,https://killb0x.github.io/final_coverage/javascript/coverage/lcov-report/syntest-javascript/benchmark/large_projects/javascript-algorithms/src/algorithms/graph/depth-first-search/depthFirstSearch.js.html,https://github.com/killB0x/final_coverage/blob/master/javascript/tests/new11-60-false-roulette-javascript_algorithms_graph-4-13/tests/test-depthFirstSearch.spec.ts,Object Creation Challange,
javascript-algorithms,src/algorithms/graph/detect-cycle/detectDirectedCycle.js,detectDirectedCycle(graph: Graph): Object,39,"42-54, 66-67, 72-74, 78",Syntest,JavaScript,32,19,0.1.2,https://killb0x.github.io/final_coverage/javascript/coverage/lcov-report/syntest-javascript/benchmark/large_projects/javascript-algorithms/src/algorithms/graph/detect-cycle/detectDirectedCycle.js.html,https://github.com/killB0x/final_coverage/blob/master/javascript/tests/new11-60-false-roulette-javascript_algorithms_graph-4-13/tests/test-detectDirectedCycle.spec.ts,Object Creation Challange,
javascript-algorithms,src/algorithms/graph/detect-cycle/detectUndirectedCycle.js,detectUndirectedCycle(graph: Graph): Object,55,"21-22, 26-27, 29, 34-46, 48-49, 58",Syntest,JavaScript,25,19,0.1.2,https://killb0x.github.io/final_coverage/javascript/coverage/lcov-report/syntest-javascript/benchmark/large_projects/javascript-algorithms/src/algorithms/graph/detect-cycle/detectUndirectedCycle.js.html,https://github.com/killB0x/final_coverage/blob/master/javascript/tests/new11-60-false-roulette-javascript_algorithms_graph-4-13/tests/test-detectUndirectedCycle.spec.ts,Object Creation Challange,
javascript-algorithms,src/algorithms/graph/detect-cycle/detectUndirectedCycleUsingDisjointSet.js,detectUndirectedCycleUsingDisjointSet(graph: Graph): boolean,21,"24, 26",Syntest,JavaScript,11,2,0.1.2,https://killb0x.github.io/final_coverage/javascript/coverage/lcov-report/syntest-javascript/benchmark/large_projects/javascript-algorithms/src/algorithms/graph/detect-cycle/detectUndirectedCycleUsingDisjointSet.js.html,https://github.com/killB0x/final_coverage/blob/master/javascript/tests/new11-60-false-roulette-javascript_algorithms_graph-4-13/tests/test-detectUndirectedCycleUsingDisjointSet.spec.ts,Object Creation Challange,
javascript-algorithms,src/algorithms/graph/dijkstra/dijkstra.js,"dijkstra(graph: Graph, startVertex: GraphVertex): ShortestPaths",24,"25-26, 43, 45, 47-48, 51-52, 55-56, 60, 64-65, 71, 76-79",Syntest,JavaScript,27,17,0.1.2,https://killb0x.github.io/final_coverage/javascript/coverage/lcov-report/syntest-javascript/benchmark/large_projects/javascript-algorithms/src/algorithms/graph/dijkstra/dijkstra.js.html,https://github.com/killB0x/final_coverage/blob/master/javascript/tests/new11-60-false-roulette-javascript_algorithms_graph-4-13/tests/test-dijkstra.spec.ts,Object Creation Challange,
javascript-algorithms,src/algorithms/graph/eulerian-path/eulerianPath.js,eulerianPath(graph: Graph): GraphVertex[],20,"21, 27-31, 41, 54-55, 62, 67-68, 70-73, 75, 78, 82-86, 89, 92-94, 97",Syntest,JavaScript,38,24,0.1.2,https://killb0x.github.io/final_coverage/javascript/coverage/lcov-report/syntest-javascript/benchmark/large_projects/javascript-algorithms/src/algorithms/graph/eulerian-path/eulerianPath.js.html,https://github.com/killB0x/final_coverage/blob/master/javascript/tests/new11-60-false-roulette-javascript_algorithms_graph-4-13/tests/test-eulerianPath.spec.ts,Object Creation Challange,
javascript-algorithms,src/algorithms/graph/floyd-warshall/floydWarshall.js,"floydWarshall(graph: Graph): {distances: number[][], nextVertices: GraphVertex[][]}",32,"38, 62-63",Syntest,JavaScript,23,3,0.1.2,https://killb0x.github.io/final_coverage/javascript/coverage/lcov-report/syntest-javascript/benchmark/large_projects/javascript-algorithms/src/algorithms/graph/floyd-warshall/floydWarshall.js.html,https://github.com/killB0x/final_coverage/blob/master/javascript/tests/new11-60-false-roulette-javascript_algorithms_graph-4-13/tests/test-floydWarshall.spec.ts,Object Creation Challange,
javascript-algorithms,src/algorithms/graph/hamiltonian-cycle/hamiltonianCycle.js,hamiltonianCycle(graph: Graph): GraphVertex[][],110,"11, 14-15, 18-20, 23-25, 38-47, 66-74, 76-98, 133",Syntest,JavaScript,33,30,0.1.2,https://killb0x.github.io/final_coverage/javascript/coverage/lcov-report/syntest-javascript/benchmark/large_projects/javascript-algorithms/src/algorithms/graph/hamiltonian-cycle/index.html,https://github.com/killB0x/final_coverage/blob/master/javascript/tests/new11-60-false-roulette-javascript_algorithms_graph-4-13/tests/test-hamiltonianCycle.spec.ts,Object Creation Challange,
javascript-algorithms,src/algorithms/graph/kruskal/kruskal.js,kruskal(graph: Graph): Graph,33,"26-28, 30, 40, 49-58",Syntest,JavaScript,22,14,0.1.2,https://killb0x.github.io/final_coverage/javascript/coverage/lcov-report/syntest-javascript/benchmark/large_projects/javascript-algorithms/src/algorithms/graph/kruskal/index.html,https://github.com/killB0x/final_coverage/blob/master/javascript/tests/new11-60-false-roulette-javascript_algorithms_graph-4-13/tests/test-kruskal.spec.ts,Object Creation Challange,
javascript-algorithms,src/algorithms/graph/prim/prim.js,prim(graph: Graph): Graph,33,"34, 38, 41, 44-48, 52, 54, 57, 60, 62, 66, 72",Syntest,JavaScript,26,16,0.1.2,https://killb0x.github.io/final_coverage/javascript/coverage/lcov-report/syntest-javascript/benchmark/large_projects/javascript-algorithms/src/algorithms/graph/prim/index.html,https://github.com/killB0x/final_coverage/blob/master/javascript/tests/new11-60-false-roulette-javascript_algorithms_graph-4-13/tests/test-prim.spec.ts,Object Creation Challange,
javascript-algorithms,src/algorithms/graph/strongly-connected-components/stronglyConnectedComponents.js,stronglyConnectedComponents(graph: Graph): *[],20,"21, 28-29, 31, 36, 40, 47-52, 76-80, 86-88, 92, 98, 101, 104, 106",Syntest,JavaScript,37,22,0.1.2,https://killb0x.github.io/final_coverage/javascript/coverage/lcov-report/syntest-javascript/benchmark/large_projects/javascript-algorithms/src/algorithms/graph/strongly-connected-components/stronglyConnectedComponents.js.html,https://github.com/killB0x/final_coverage/blob/master/javascript/tests/new11-60-false-roulette-javascript_algorithms_graph-4-13/tests/test-stronglyConnectedComponents.spec.ts,Object Creation Challange,
javascript-algorithms,src/algorithms/graph/topological-sorting/topologicalSort.js,topologicalSort(graph: Graph): GraphVertex[],10,"11, 15-16, 18-19, 20, 23, 26, 30, 33, 38-44, 46",Syntest,JavaScript,18,17,0.1.2,https://killb0x.github.io/final_coverage/javascript/coverage/lcov-report/syntest-javascript/benchmark/large_projects/javascript-algorithms/src/algorithms/graph/topological-sorting/topologicalSort.js.html,https://github.com/killB0x/final_coverage/blob/master/javascript/tests/new11-60-false-roulette-javascript_algorithms_graph-4-13/tests/test-topologicalSort.spec.ts,Object Creation Challange,
javascript-algorithms,src/algorithms/graph/travelling-salesman/bfTravellingSalesman.js,bfTravellingSalesman(graph: Graph): GraphVertex[],71,"24, 28-32, 35-38, 40, 50-61, 78-84, 87-103",Syntest,JavaScript,41,34,0.1.2,https://killb0x.github.io/final_coverage/javascript/coverage/lcov-report/syntest-javascript/benchmark/large_projects/javascript-algorithms/src/algorithms/graph/travelling-salesman/bfTravellingSalesman.js.html,https://github.com/killB0x/final_coverage/blob/master/javascript/tests/new11-60-false-roulette-javascript_algorithms_graph-4-13/tests/test-bfTravellingSalesman.spec.ts,Object Creation Challange,
javascript-algorithms,src/algorithms/math/matrix/Matrix.js,"dot(a: Matrix, b: Matrix): Matrix",142,"148, 152",Syntest,JavaScript,107,2,0.1.2,https://killb0x.github.io/final_coverage/javascript/coverage/lcov-report/syntest-javascript/benchmark/large_projects/javascript-algorithms/src/algorithms/math/matrix/Matrix.js.html,https://github.com/killB0x/final_coverage/tree/master/javascript/tests/new11-60-false-roulette-javascript_algorithms_matrix-0-17/tests,Object Creation Challange,
javascript-algorithms,src/algorithms/math/matrix/Matrix.js,"add(a: Matrix, b: Matrix): Matrix",250,"251, 253-255, 257-260, 262",Syntest,JavaScript,107,8,0.1.2,https://killb0x.github.io/final_coverage/javascript/coverage/lcov-report/syntest-javascript/benchmark/large_projects/javascript-algorithms/src/algorithms/math/matrix/Matrix.js.html,https://github.com/killB0x/final_coverage/tree/master/javascript/tests/new11-60-false-roulette-javascript_algorithms_matrix-0-17/tests,Object Creation Challange,
javascript-algorithms,src/algorithms/math/matrix/Matrix.js,"mul(a: Matrix, b: Matrix): Matrix",273,"274, 276-278, 280-283, 285",Syntest,JavaScript,107,8,0.1.2,https://killb0x.github.io/final_coverage/javascript/coverage/lcov-report/syntest-javascript/benchmark/large_projects/javascript-algorithms/src/algorithms/math/matrix/Matrix.js.html,https://github.com/killB0x/final_coverage/tree/master/javascript/tests/new11-60-false-roulette-javascript_algorithms_matrix-0-17/tests,Object Creation Challange,
javascript-algorithms,src/algorithms/math/matrix/Matrix.js,"sub(a: Matrix, b: Matrix): Matrix",296,"297, 299-301, 303-306, 308",Syntest,JavaScript,107,8,0.1.2,https://killb0x.github.io/final_coverage/javascript/coverage/lcov-report/syntest-javascript/benchmark/large_projects/javascript-algorithms/src/algorithms/math/matrix/Matrix.js.html,https://github.com/killB0x/final_coverage/tree/master/javascript/tests/new11-60-false-roulette-javascript_algorithms_matrix-0-17/tests,Object Creation Challange,
javascript-algorithms,src/algorithms/sets/knapsack-problem/Knapsack.js,Knapsack.prototype.sortPossibleItemsByWeight(),21,25,Syntest,JavaScript,68,1,0.1.2,https://killb0x.github.io/final_coverage/javascript/coverage/lcov-report/syntest-javascript/benchmark/large_projects/javascript-algorithms/src/algorithms/sets/knapsack-problem/Knapsack.js.html,https://github.com/killB0x/final_coverage/blob/master/javascript/tests/new11-60-false-roulette-javascript_algorithms_knapsack-3-12/tests/test-Knapsack.spec.ts,Object Creation Challange,
javascript-algorithms,src/algorithms/sets/knapsack-problem/Knapsack.js,Knapsack.prototype.sortPossibleItemsByValue(),37,41,Syntest,JavaScript,68,1,0.1.2,https://killb0x.github.io/final_coverage/javascript/coverage/lcov-report/syntest-javascript/benchmark/large_projects/javascript-algorithms/src/algorithms/sets/knapsack-problem/Knapsack.js.html,https://github.com/killB0x/final_coverage/blob/master/javascript/tests/new11-60-false-roulette-javascript_algorithms_knapsack-3-12/tests/test-Knapsack.spec.ts,Object Creation Challange,
javascript-algorithms,src/algorithms/sets/knapsack-problem/Knapsack.js,Knapsack.prototype.sortPossibleItemsByValuePerWeightRatio(),53,57,Syntest,JavaScript,68,1,0.1.2,https://killb0x.github.io/final_coverage/javascript/coverage/lcov-report/syntest-javascript/benchmark/large_projects/javascript-algorithms/src/algorithms/sets/knapsack-problem/Knapsack.js.html,https://github.com/killB0x/final_coverage/blob/master/javascript/tests/new11-60-false-roulette-javascript_algorithms_knapsack-3-12/tests/test-Knapsack.spec.ts,Object Creation Challange,
javascript-algorithms,src/algorithms/sets/knapsack-problem/Knapsack.js,Knapsack.prototype.solveZeroOneKnapsackProblem(),102,"106, 136-143, 145-147",Syntest,JavaScript,68,12,0.1.2,https://killb0x.github.io/final_coverage/javascript/coverage/lcov-report/syntest-javascript/benchmark/large_projects/javascript-algorithms/src/algorithms/sets/knapsack-problem/Knapsack.js.html,https://github.com/killB0x/final_coverage/blob/master/javascript/tests/new11-60-false-roulette-javascript_algorithms_knapsack-3-12/tests/test-Knapsack.spec.ts,Object Creation Challange,
javascript-algorithms,src/algorithms/sets/knapsack-problem/Knapsack.js,Knapsack.prototype.solveUnboundedKnapsackProblem(),167,"170, 174",Syntest,JavaScript,68,2,0.1.2,https://killb0x.github.io/final_coverage/javascript/coverage/lcov-report/syntest-javascript/benchmark/large_projects/javascript-algorithms/src/algorithms/sets/knapsack-problem/Knapsack.js.html,https://github.com/killB0x/final_coverage/blob/master/javascript/tests/new11-60-false-roulette-javascript_algorithms_knapsack-3-12/tests/test-Knapsack.spec.ts,Object Creation Challange,
javascript-algorithms,src/data-structures/tree/red-black-tree/RedBlackTree.js,RedBlackTree.prototype.balance(node: BinarySearchTreeNode): void,57,"57-78, 80-82, 84, 86, 88, 90-92, 95-98, 100, 105-110, 113",Syntest,JavaScript,89,35,0.1.2,https://killb0x.github.io/final_coverage/javascript/coverage/lcov-report/syntest-javascript/benchmark/large_projects/javascript-algorithms/src/data-structures/tree/BinaryTreeNode.js.html,https://github.com/killB0x/final_coverage/blob/master/javascript/tests/new11-60-false-roulette-javascript_algorithms_tree-2-10/tests/test-RedBlackTree.spec.ts,,
javascript-algorithms,src/data-structures/tree/red-black-tree/RedBlackTree.js,RedBlackTree.prototype.leftLeftRotation(grandParentNode: BinarySearchTreeNode | BinaryTreeNode): BinarySearchTreeNode,141,"144, 147-152, 155, 159, 162",Syntest,JavaScript,89,8,0.1.2,https://killb0x.github.io/final_coverage/javascript/coverage/lcov-report/syntest-javascript/benchmark/large_projects/javascript-algorithms/src/data-structures/tree/BinaryTreeNode.js.html,https://github.com/killB0x/final_coverage/blob/master/javascript/tests/new11-60-false-roulette-javascript_algorithms_tree-2-10/tests/test-RedBlackTree.spec.ts,,
javascript-algorithms,src/data-structures/tree/red-black-tree/RedBlackTree.js,RedBlackTree.prototype.leftRightRotation(grandParentNode: BinarySearchTreeNode | BinaryTreeNode): BinarySearchTreeNode,173,"178-179, 181, 184, 187, 190",Syntest,JavaScript,89,6,0.1.2,https://killb0x.github.io/final_coverage/javascript/coverage/lcov-report/syntest-javascript/benchmark/large_projects/javascript-algorithms/src/data-structures/tree/BinaryTreeNode.js.html,https://github.com/killB0x/final_coverage/blob/master/javascript/tests/new11-60-false-roulette-javascript_algorithms_tree-2-10/tests/test-RedBlackTree.spec.ts,,
javascript-algorithms,src/data-structures/tree/red-black-tree/RedBlackTree.js,RedBlackTree.prototype.rightRightRotation(grandParentNode: BinarySearchTreeNode | BinaryTreeNode): BinarySearchTreeNode,222,223-227,Syntest,JavaScript,89,3,0.1.2,https://killb0x.github.io/final_coverage/javascript/coverage/lcov-report/syntest-javascript/benchmark/large_projects/javascript-algorithms/src/data-structures/tree/BinaryTreeNode.js.html,https://github.com/killB0x/final_coverage/blob/master/javascript/tests/new11-60-false-roulette-javascript_algorithms_tree-2-10/tests/test-RedBlackTree.spec.ts,,
Twitch-Python_441,twitch/chat/irc.py,IRC.run(self),32,33,Pynguin,Python,62,1,0.27.0,https://killb0x.github.io/final_coverage/python/flaky_tests/coverage/python_flaky/Twitch-Python_441/htmlcov/z_d185e6c7c5126c06_irc_py.html,https://github.com/killB0x/final_coverage/blob/master/python/flaky_tests/tests/python_flaky/Twitch-Python_441/tests/test_twitch_chat_irc.py,External Dependency Challenge,
Twitch-Python_441,twitch/chat/irc.py,IRC.run(self),27,40,Pynguin,Python,62,1,0.27.0,https://killb0x.github.io/final_coverage/python/flaky_tests/coverage/python_flaky/Twitch-Python_441/htmlcov/z_d185e6c7c5126c06_irc_py.html,https://github.com/killB0x/final_coverage/blob/master/python/flaky_tests/tests/python_flaky/Twitch-Python_441/tests/test_twitch_chat_irc.py,External Dependency Challenge,
Twitch-Python_441,twitch/chat/irc.py,IRC.run(self),42,42-43,Pynguin,Python,62,2,0.27.0,https://killb0x.github.io/final_coverage/python/flaky_tests/coverage/python_flaky/Twitch-Python_441/htmlcov/z_d185e6c7c5126c06_irc_py.html,https://github.com/killB0x/final_coverage/blob/master/python/flaky_tests/tests/python_flaky/Twitch-Python_441/tests/test_twitch_chat_irc.py,Triggering Exceptions,
Twitch-Python_441,twitch/chat/irc.py,"IRC.send_message(self, message: str, channel: str)",49,51,Pynguin,Python,62,1,0.27.0,https://killb0x.github.io/final_coverage/python/flaky_tests/coverage/python_flaky/Twitch-Python_441/htmlcov/z_d185e6c7c5126c06_irc_py.html,https://github.com/killB0x/final_coverage/blob/master/python/flaky_tests/tests/python_flaky/Twitch-Python_441/tests/test_twitch_chat_irc.py,Object Creation Challange,
Twitch-Python_441,twitch/chat/irc.py,"IRC.leave_channel(self, channel: str)",65,68,Pynguin,Python,62,1,0.27.0,https://killb0x.github.io/final_coverage/python/flaky_tests/coverage/python_flaky/Twitch-Python_441/htmlcov/z_d185e6c7c5126c06_irc_py.html,https://github.com/killB0x/final_coverage/blob/master/python/flaky_tests/tests/python_flaky/Twitch-Python_441/tests/test_twitch_chat_irc.py,Sequence Generation Challenge,
Twitch-Python_441,twitch/chat/message.py,Message.user(self) -> Optional[User],23,23,Pynguin,Python,13,1,0.27.0,https://killb0x.github.io/final_coverage/python/flaky_tests/coverage/python_flaky/Twitch-Python_441/htmlcov/z_d185e6c7c5126c06_message_py.html,https://github.com/killB0x/final_coverage/blob/master/python/flaky_tests/tests/python_flaky/Twitch-Python_441/tests/test_twitch_chat_message.py,Unexercised Function,
Twitch-Python_441,twitch/helix/resources/clips.py,"Clips._handle_pagination_response(self, response: dict) -> List[T]",17,18,Pynguin,Python,12,1,0.27.0,https://killb0x.github.io/final_coverage/python/flaky_tests/coverage/python_flaky/Twitch-Python_441/htmlcov/z_b10bc55d6457939a_clips_py.html,https://github.com/killB0x/final_coverage/blob/master/python/flaky_tests/tests/python_flaky/Twitch-Python_441/tests/test_twitch_helix_resources_clips.py,Unexercised Function,
Twitch-Python_441,twitch/resource.py,"Resource.__iter__(self) -> Generator[T, None, None]",34,39,Pynguin,Python,23,1,0.27.0,https://killb0x.github.io/final_coverage/python/flaky_tests/coverage/python_flaky/Twitch-Python_441/htmlcov/z_543f8f2df21c0c00_resource_py.html,https://github.com/killB0x/final_coverage/blob/master/python/flaky_tests/tests/python_flaky/Twitch-Python_441/tests/test_twitch_resource.py,Object Creation Challange,
